screen_name,sentiment_label
best_in_dumbest,0
CJRubinPhoto,1
SVGEGENT,0
TinkerVHELPK5,0
JoleonLescott,0
Ayat_140,1
carrieanninaba,0
sherine,1
cordensmaureen,1
GhamGraham,0
jainabdulaziz,0
poem_exe,0
HilaryAlexander,1
JacobWhitesides,1
giuliainnocenzi,0
RichiMasu,0
NagahamaMazie,0
PenmetsaCari,0
CavemanDCJ,1
ChuckBaechel,1
D8Ricky,1
ValdakR,1
JuanpaZurita,0
JulieZauzmer,1
dapmalaysia,0
KaitlynTck,1
winampskins,1
mykidsfault,1
azizhadlaq2010,1
najamwalikhan,1
TheOnlyMsV,0
gabbs_01,1
effort7879,1
LilDogBigPhilly,0
hxhassan,1
Violetworld,1
Halena85,0
MaverickSabre,0
nikonovasvyato1,0
NBA,1
AlexNunez__,1
TheJakobmurphy,1
bkatcap,1
DMInteriorsFA,1
EdwardCAddict,1
Gotaga,1
chandlerriggs,1
mu2060,1
Priceyd101,1
TinoVale23,1
csangsangmadang,1
sexy_sitagigazo,1
MaestroMarley,0
beliebergirl132,1
tlc614,1
24h_tve,0
newspaperbot,0
kathynickles6,1
Ana63Annick,1
inchekubi,0
riphoesay,1
followtheh,0
HuytotheDang,1
a80guglielmi,1
Oneway107,0
SamanthaJune666,0
Gennefer,0
EU_EDPS,0
SkylerJeffery,1
msubtweeter,1
tteodoras,1
vroom_vroom_bot,1
suqichen1978,1
dens,1
suny1,1
poygxvwsrtvrp21,1
RUMI_0619,1
dastud7979,1
BahayniQuotes,0
JoannaLohman,1
LAWTURK,1
EFMathieu,0
bigpappapump123,1
TiwaSavage,0
everywhereist,0
Poshy2005,1
MohanShakti,0
BeeneSamuel,1
SSDGM666,0
Odiotuttigioia,0
GNev2,0
Teresav4,1
kattyatamayo,1
wunc,0
urgantcom,1
abc_es,1
zZBurntToastZz,0
Donny_BIGGS,1
sacca,1
jef2195,1
anlyzambrano,1
paulnutwalnut,1
shwuyiNg_,1
MicheilleSoifer,0
elkpga,0
ILYtricey,0
BulletValentina,1
DJC113Live,0
dodoroirene,0
idarksynth,1
TurtleRua,1
DamarisLewis,0
janelle_ty,1
qty_3,1
karengant1,1
PopDpp,1
9olfo,1
hmchile,1
tommygeekinn,0
uscsoccer86,0
nai8478,1
eye__vy,1
OUTDChannel,0
iJonasStylinson,0
_amy00,0
mainedcm,1
magickalspectre,0
feIIati0,1
Preggoluffa,1
cjfinnego,0
LorLea93,1
kbjurgens,0
NewsroomPostCom,1
MadisonAriaRose,1
RKellyOnlyTwitr,1
MahmutBilici11,0
MLBNetwork,0
HardcoreHistory,0
Kxiehm,1
